edge,persistence_obs,p_emp,zscore,qval
"('ATP13A2', 'VPS35')",5,0.2634730538922156,1.1022440110422187,0.6636726546906188
"('DNAJC6', 'SNCA')",5,0.4530938123752495,0.6299277256774882,0.9911427145708583
"('ATP13A2', 'DNAJC13')",4,0.562874251497006,0.28349672407974996,1.0
"('GBA', 'PRKN')",0,1.0,-1.2148575991035964,1.0
"('GBA', 'LRRK2')",6,0.001996007984031936,6.7419697385438715,0.06986027944111776
"('ATP13A2', 'PRKN')",4,0.01996007984031936,2.6656060342790924,0.3293413173652695
"('ATP13A2', 'LRRK2')",1,0.7285429141716567,-0.07879261743274682,1.0
"('FBXO7', 'SYNJ1')",0,1.0,-1.5387609241676241,1.0
"('PINK1', 'PRKN')",0,1.0,-1.0514629003091873,1.0
"('GIGYF2', 'HTRA2')",6,0.2634730538922156,1.2655524334872412,0.6636726546906188
"('DNAJC13', 'PRKN')",0,1.0,-1.8897387717694731,1.0
"('FBXO7', 'HTRA2')",0,1.0,-1.7505724270633276,1.0
"('DNAJC13', 'LRRK2')",0,1.0,-1.596296649631219,1.0
"('HTRA2', 'SNCA')",6,0.13373253493013973,1.56237062747203,0.6382689167120306
"('DNAJC6', 'SYNJ1')",5,0.6686626746506986,0.1932987813798304,1.0
"('EIF4G1', 'SYNJ1')",6,0.2435129740518962,1.311089368341081,0.6636726546906188
"('GIGYF2', 'SNCA')",6,0.10179640718562874,1.7125070538999108,0.584620233217775
"('SYNJ1', 'VPS35')",6,0.25948103792415167,1.2664629068452509,0.6636726546906188
"('ATP13A2', 'GIGYF2')",4,0.47904191616766467,0.5217674091006665,1.0
"('DNAJC6', 'HTRA2')",6,0.2634730538922156,1.2305085203517327,0.6636726546906188
"('PRKN', 'VPS35')",2,0.7405189620758483,-0.22598252146226824,1.0
"('GBA', 'SNCA')",0,1.0,-2.010030640513184,1.0
"('ATP13A2', 'SNCA')",4,0.38323353293413176,0.8179725448597509,0.9145345672291781
"('FBXO7', 'PLA2G6')",3,0.10578842315369262,1.8939907278801678,0.584620233217775
"('PINK1', 'SNCA')",0,1.0,-1.341577386420142,1.0
"('EIF4G1', 'PINK1')",0,1.0,-1.3763849020429837,1.0
"('LRRK2', 'SYNJ1')",0,1.0,-1.4932263397591892,1.0
"('DNAJC13', 'SNCA')",6,0.09381237524950099,1.7825253712224842,0.584620233217775
"('EIF4G1', 'GBA')",1,0.9860279441117764,-1.678038437351459,1.0
"('GIGYF2', 'SYNJ1')",6,0.19161676646706588,1.3901670151747447,0.6636726546906188
"('EIF4G1', 'VPS35')",6,0.249500998003992,1.2775995816204955,0.6636726546906188
"('DNAJC6', 'PLA2G6')",6,0.10379241516966067,1.7033424134301764,0.584620233217775
"('GBA', 'SYNJ1')",1,0.9740518962075848,-1.4604640613657878,1.0
"('EIF4G1', 'PLA2G6')",6,0.11377245508982035,1.6307072614689644,0.5888223552894212
"('PINK1', 'SYNJ1')",0,1.0,-1.3836426678430385,1.0
"('EIF4G1', 'FBXO7')",0,1.0,-1.6430615719046795,1.0
"('GBA', 'HTRA2')",1,0.9880239520958084,-1.8245303767808316,1.0
"('ATP13A2', 'HTRA2')",6,0.06786427145708583,1.9066908290072537,0.584620233217775
"('FBXO7', 'PINK1')",0,1.0,-1.0643652943235193,1.0
"('PRKN', 'SNCA')",3,0.2554890219560878,1.1100670183883126,0.6636726546906188
"('ATP13A2', 'DNAJC6')",1,0.9940119760479041,-2.4748072382787716,1.0
"('PLA2G6', 'VPS35')",2,0.9900199600798403,-2.080577533005404,1.0
"('DNAJC6', 'EIF4G1')",6,0.21756487025948104,1.3365454912127601,0.6636726546906188
"('LRRK2', 'PLA2G6')",0,1.0,-1.3387371965686088,1.0
"('PLA2G6', 'PRKN')",0,1.0,-1.5647833378275762,1.0
"('FBXO7', 'GBA')",3,0.033932135728542916,2.5619034076713314,0.4453592814371258
"('DNAJC13', 'HTRA2')",6,0.2654690618762475,1.233511435021808,0.6636726546906188
"('FBXO7', 'VPS35')",0,1.0,-1.6491675231348564,1.0
"('SNCA', 'SYNJ1')",6,0.10578842315369262,1.7121043669434828,0.584620233217775
"('DNAJC13', 'DNAJC6')",6,0.22554890219560877,1.318727660149699,0.6636726546906188
"('GIGYF2', 'PLA2G6')",6,0.08782435129740519,1.7181888195480264,0.584620233217775
"('FBXO7', 'PRKN')",5,0.001996007984031936,6.37913932969601,0.06986027944111776
"('FBXO7', 'LRRK2')",0,1.0,-1.0473568721035529,1.0
"('DNAJC6', 'PINK1')",0,1.0,-1.325536535700658,1.0
"('EIF4G1', 'GIGYF2')",6,0.20359281437125748,1.382657979452559,0.6636726546906188
"('GBA', 'PLA2G6')",5,0.01996007984031936,2.492836801712229,0.3293413173652695
"('HTRA2', 'SYNJ1')",6,0.21157684630738524,1.3874725956976732,0.6636726546906188
"('PINK1', 'PLA2G6')",0,1.0,-1.2323827675109071,1.0
"('DNAJC6', 'GBA')",6,0.011976047904191617,2.476440310784089,0.31437125748503
"('DNAJC6', 'VPS35')",6,0.22954091816367264,1.3567587896426228,0.6636726546906188
"('DNAJC13', 'PLA2G6')",6,0.07385229540918163,1.9167025143472216,0.584620233217775
