HSD17B13 INSR 0.57252 60-69
HSD17B13 TM6SF2 0.89716 60-69
HSD17B13 MBOAT7 0.3376 60-69
HSD17B13 PNPLA3 0.00026 60-69
TOR1B SREBF1 0.49724 60-69
TOR1B INSR 0.01395 60-69
TOR1B TM6SF2 0.392 60-69
TOR1B MBOAT7 0.23521 60-69
TOR1B PNPLA3 0.7383 60-69
SREBF1 INSR 0.15612 60-69
SREBF1 TM6SF2 0.54076 60-69
SREBF1 MBOAT7 0.78565 60-69
SREBF1 PNPLA3 0.0335 60-69
INSR TM6SF2 0.24382 60-69
INSR MBOAT7 0.30853 60-69
INSR PNPLA3 0.74984 60-69
TM6SF2 MBOAT7 0.08924 60-69
TM6SF2 PNPLA3 0.95131 60-69
MBOAT7 PNPLA3 0.2491 60-69
GCKR GRB14 0.02294 70-79
GCKR COBLL1 0.51107 70-79
GCKR HSD17B13 0.0 70-79
GCKR TOR1B 0.97938 70-79
GCKR SREBF1 0.00245 70-79
GCKR INSR 0.65659 70-79
GCKR TM6SF2 3e-05 70-79
GCKR MBOAT7 0.51041 70-79
GCKR PNPLA3 0.0 70-79
GRB14 COBLL1 0.31685 70-79
GRB14 HSD17B13 0.02557 70-79
GRB14 TOR1B 0.87453 70-79
GRB14 SREBF1 0.038 70-79
GRB14 INSR 0.52001 70-79
GRB14 TM6SF2 0.01261 70-79
GRB14 MBOAT7 0.96939 70-79
GRB14 PNPLA3 0.02257 70-79
COBLL1 HSD17B13 0.48964 70-79
COBLL1 TOR1B 0.15743 70-79
COBLL1 SREBF1 0.26501 70-79
COBLL1 INSR 0.00455 70-79
COBLL1 TM6SF2 0.48147 70-79
COBLL1 MBOAT7 0.21508 70-79
COBLL1 PNPLA3 0.47504 70-79
HSD17B13 TOR1B 0.98715 70-79
HSD17B13 SREBF1 0.00182 70-79
HSD17B13 INSR 0.62792 70-79
HSD17B13 TM6SF2 6e-05 70-79
HSD17B13 MBOAT7 0.51503 70-79
HSD17B13 PNPLA3 0.0 70-79
TOR1B SREBF1 0.61506 70-79
TOR1B INSR 0.04051 70-79
TOR1B TM6SF2 0.98926 70-79
